Area,AreaCode,Survey_Year,Population_Persons,Total_Households,Av_People_Per_Household,Md_People_Per_Household,Total_vehicles,Av_Vehicles_Per_Household,Md_Vehicles_Per_Household,Total_Bicycles,Av_Bicycles_Per_Household,Md_Bicycles_Per_Household
Ballarat (C),20570,2009,90145,33878,2.7,0,58307,1.7,0,48039,1.4,0
Banyule (C),20660,2009,117838,42369,2.8,0,72493,1.7,0,60718,1.4,0
Bayside (C),20910,2009,92141,33723,2.7,0,60089,1.8,0,55421,1.6,0
Boroondara (C),21110,2009,160364,58132,2.8,0,93945,1.6,0,96687,1.7,0
Brimbank (C),21180,2009,175964,56820,3.1,0,96229,1.7,0,50146,0.9,0
Cardinia (S),21450,2009,66026,21671,3,0,43861,2,0,35155,1.6,0
Casey (C),21610,2009,237883,77229,3.1,0,145934,1.9,0,107217,1.4,0
Darebin (C),21890,2009,133357,50714,2.6,0,69282,1.4,0,61088,1.2,0
Frankston (C),22170,2009,124186,45465,2.7,0,81411,1.8,0,57352,1.3,0
Glen Eira (C),22310,2009,129853,50179,2.6,0,77162,1.5,0,65198,1.3,0
Greater Bendigo (C),22620,2009,98192,36742,2.7,0,66403,1.8,0,52786,1.4,0
Greater Dandenong (C),22670,2009,131022,45210,2.9,0,68326,1.5,0,35826,0.8,0
Greater Geelong (C),22750,2009,203191,77061,2.6,0,141673,1.8,0,122300,1.6,0
Greater Shepparton (C),22830,2009,59431,21310,2.8,0,42082,2,0,35873,1.7,0
Hobsons Bay (C),23110,2009,83126,30516,2.7,0,50105,1.6,0,43338,1.4,0
Hume (C),23270,2009,159141,48845,3.3,0,93068,1.9,0,65756,1.3,0
Kingston (C),23430,2009,140223,52360,2.7,0,87965,1.7,0,74780,1.4,0
Knox (C),23670,2009,149720,51163,2.9,0,105903,2.1,0,90275,1.8,0
Latrobe (C),23810,2009,72102,27453,2.6,0,50491,1.8,0,36380,1.3,0
Manningham (C),24210,2009,112477,39041,2.9,0,79925,2,0,53372,1.4,0
Maribyrnong (C),24330,2009,68264,25998,2.6,0,36237,1.4,0,29974,1.2,0
Maroondah (C),24410,2009,101900,36941,2.8,0,66641,1.8,0,50948,1.4,0
Melbourne (C),24600,2009,82009,33789,2.4,0,31030,0.9,0,29285,0.9,0
Melton (S),24650,2009,95447,30004,3.2,0,58695,2,0,45191,1.5,0
Monash (C),24970,2009,166829,59673,2.8,0,106586,1.8,0,73906,1.2,0
Moonee Valley (C),25060,2009,111026,42265,2.6,0,66023,1.6,0,57752,1.4,0
Moreland (C),25250,2009,140545,53765,2.6,0,79841,1.5,0,72214,1.3,0
Mornington Peninsula (S),25340,2009,143216,51437,2.8,0,95613,1.9,0,59400,1.2,0
Nillumbik (S),25710,2009,61313,19041,3.2,0,43683,2.3,0,40961,2.2,0
Port Phillip (C),25900,2009,89426,39477,2.3,0,43549,1.1,0,40226,1,0
Stonnington (C),26350,2009,93754,37842,2.5,0,50321,1.3,0,44589,1.2,0
Whitehorse (C),26980,2009,148710,55772,2.7,0,91535,1.6,0,73452,1.3,0
Whittlesea (C),27070,2009,139057,44600,3.1,0,90254,2,0,55422,1.2,0
Wyndham (C),27260,2009,137249,44212,3.1,0,84008,1.9,0,81134,1.8,0
Yarra (C),27350,2009,73221,30938,2.4,0,34990,1.1,0,40809,1.3,0
Yarra Ranges (S),27450,2009,142509,48377,2.9,0,97475,2,0,78205,1.6,0
